"#","Reference","Qty","Value","Footprint"
"1","C1, C2, C5","3","100uF","Capacitor_SMD:CP_Elec_3x5.3"
"2","C3, C4","2","22pF","Capacitor_SMD:C_0805_2012Metric"
"3","D1","1","LED","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder"
"4","D2","1","D_TVS_Dual_AAC","Package_TO_SOT_SMD:SOT-23-3"
"5","D3, D4","2","BAT54C","Package_TO_SOT_SMD:SOT-23"
"6","J1","1","Conn_01x08","Connector_Wuerth:Wuerth_WR-WTB_64800811622_1x08_P1.50mm_Vertical"
"7","J2","1","Jack-DC","Connector_BarrelJack:BarrelJack_GCT_DCJ200-10-A_Horizontal"
"8","J3","1","Conn_PIC_ICSP_ICD","Connector_PinHeader_2.54mm:PinHeader_2x03_P2.54mm_Vertical"
"9","J4, J5","2","Conn_01x06","Connector_Wuerth:Wuerth_WR-WTB_64800611622_1x06_P1.50mm_Vertical"
"10","J6","1","USB_B","USB_footprintd:USB_B_OST_USB-B1HSxx_Horizontal"
"11","R1, R2, R3","3","10k","Resistor_SMD:R_0805_2012Metric"
"12","SW1","1","SW_Push","Button_Switch_THT:SW_PUSH_6mm_H4.3mm"
"13","U1","1","LM7805_TO220","Package_TO_SOT_SMD:TO-252-3_TabPin2"
"14","U2","1","PIC16F1619-xP","Package_DIP:DIP-20_W7.62mm"
"15","U3","1","CP2102N-Axx-xQFN28","Package_DFN_QFN:WQFN-32-1EP_5x5mm_P0.5mm_EP3.1x3.1mm"
"16","Y1","1","Crystal","Crystal:Crystal_HC49-4H_Vertical"
